time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Long1,Long2,Long3,Long4,Short
2017-05-19,1879,1969.99,1874.99,1958,1222.2872072072075,863.8971142857146,1382.2353828571433,1727.7942285714291,2591.691342857144,4319.485571428573,6911.1769142857165,11230.662485714289,18141.839400000004,617.069367346939,539.9356964285715,431.9485571428573,332.268120879121,0,0,0,0,0
2017-05-20,1959.09,2021,1914,2013.99,1232.2149549549554,868.0119428571431,1388.819108571429,1736.0238857142863,2604.035828571429,4340.059714285716,6944.095542857145,11284.15525714286,18228.250800000005,620.0085306122452,542.5074642857144,434.00597142857157,333.85074725274734,0,0,0,0,0
2017-05-21,2013.99,2063.11,1961.52,2017.55,1242.1028828828833,872.1366285714288,1395.418605714286,1744.2732571428576,2616.4098857142862,4360.683142857144,6977.09302857143,11337.776171428573,18314.869200000005,622.9547346938778,545.085392857143,436.0683142857144,335.4371648351649,0,0,0,0,0
2017-05-22,2017.55,2230.34,2001,2099.97,1252.3369369369375,876.4665428571432,1402.346468571429,1752.9330857142863,2629.3996285714293,4382.332714285716,7011.732342857145,11394.065057142861,18405.797400000007,626.0475306122452,547.7915892857144,438.2332714285716,337.1025164835166,0,0,0,0,0
2017-05-23,2088.76,2275,2088.45,2264.23,1263.873513513514,881.2856571428574,1410.0570514285719,1762.5713142857148,2643.8569714285723,4406.428285714287,7050.285257142859,11456.713542857146,18506.998800000005,629.489755102041,550.8035357142859,440.6428285714287,338.9560219780221,0,0,0,0,0
2017-05-24,2265.9,2481.75,2264.64,2420.29,1276.5863063063068,886.5349714285717,1418.4559542857148,1773.0699428571434,2659.604914285715,4432.674857142858,7092.279771428573,11524.954628571431,18617.234400000005,633.2392653061227,554.0843571428572,443.26748571428584,340.9749890109891,0,0,0,0,0
2017-05-25,2420.29,2760.1,2221,2292.53,1288.0776576576582,891.4421714285717,1426.3074742857148,1782.8843428571433,2674.326514285715,4457.210857142858,7131.537371428573,11588.748228571432,18720.285600000007,636.7444081632655,557.1513571428573,445.72108571428583,342.8623736263737,0,0,0,0,0
2017-05-26,2277.01,2599.12,2060,2279.82,1299.308648648649,896.3044857142859,1434.0871771428574,1792.6089714285717,2688.9134571428576,4481.522428571429,7170.435885714287,11651.958314285715,18822.394200000002,640.2174897959185,560.1903035714287,448.15224285714294,344.73249450549457,0,0,0,0,0
2017-05-27,2280.7,2339.94,1850,2042,1308.5963063063068,900.3959142857145,1440.6334628571433,1800.791828571429,2701.1877428571433,4501.979571428573,7203.167314285716,11705.146885714288,18908.314200000004,643.1399387755105,562.7474464285715,450.19795714285726,346.30612087912095,0,0,0,0,0
2017-05-28,2042.89,2313.96,2041.48,2178.81,1319.0000900900905,904.7007142857146,1447.5211428571436,1809.4014285714293,2714.102142857144,4523.503571428573,7237.605714285717,11761.10928571429,18998.715000000007,646.2147959183676,565.4379464285716,452.3503571428573,347.9618131868133,0,0,0,0,0
2017-05-29,2172.54,2350,2110,2292.1,1330.167837837838,909.2367428571431,1454.778788571429,1818.4734857142862,2727.710228571429,4546.183714285716,7273.893942857145,11820.07765714286,19093.971600000004,649.4548163265308,568.2729642857144,454.61837142857155,349.70643956043966,0,0,0,0,0
2017-05-30,2290.18,2339.08,2160,2203.51,1340.5562162162166,913.5746285714289,1461.7194057142863,1827.1492571428578,2740.7238857142866,4567.873142857145,7308.597028571431,11876.470171428575,19185.067200000005,652.5533061224493,570.9841428571431,456.78731428571444,351.37485714285725,0,0,0,0,0
2017-05-31,2201.7,2334,2154.28,2298.01,1352.3761261261266,918.1546571428574,1469.047451428572,1836.309314285715,2754.463971428572,4590.773285714287,7345.23725714286,11936.010542857146,19281.247800000005,655.8247551020411,573.8466607142859,459.0773285714287,353.1364065934067,0,0,0,0,0
2017-06-01,2298.01,2456.39,2296.81,2413.63,1365.1468468468472,922.8604000000003,1476.5766400000005,1845.7208000000005,2768.5812000000005,4614.3020000000015,7382.883200000002,11997.185200000004,19380.068400000004,659.1860000000003,576.7877500000001,461.4302000000001,354.94630769230776,0,0,0,0,0
